          MJD       m       dm    uJy   duJy  F  err     chi/N         RA       Dec         x         y    maj   min   phi  apfit    Sky     ZP             Obs  Mask  o0_Nmasked  o1_mean  o1_mean_err  o1_stddev    o1_X2norm  o1_Nvalid  o1_Nnan  Noffsetlc  o2_mean  o2_mean_err  o2_stddev  o2_X2norm  o2_Nused  o2_Nskipped  o2_Nin
 57941.515733  20.888    1.135     16     18  o    0      2.22  299.61892  62.13773   2875.32   4509.61   3.15  3.01  54.1 -0.448  18.85  19.81  01a57941o0545o   512           2     18.0       14.787     36.220       3.2313          7        0          7    6.070        8.836     38.715     3.4993         5            0       5
 57941.517700  20.120    0.523     32     17  o    0      2.46  299.61892  62.13773   2850.75   4634.57   3.20  3.04  48.3 -0.448  18.82  19.81  01a57941o0549o  1024           0     26.0        5.059     12.392       0.3608          7        0          7   26.095        7.733     12.398     0.3607         7            0       7
 57943.447851  18.795    1.138    110    125  o    0      0.93  299.61892  62.13773   5309.13   6155.37   2.20  1.93  39.8 -0.540  17.24  17.56  02a57943o0420o     1           7     72.0       43.389    106.280       0.7228          7        0          7      NaN          NaN        NaN        NaN         0            0       0
 57943.458124  20.031    0.804     35     28  o    0      1.05  299.61892  62.13773   5153.73   4242.69   2.08  1.83  49.7 -0.521  18.66  19.08  02a57943o0440o     0           0      9.0        9.206     22.549       0.6447          7        0          7   13.891        9.904     21.550     0.6041         7            0       7
 57943.477549 -17.629    0.714   -322    230  o    0      1.61  299.61892  62.13773   5271.59   6113.06   2.21  2.02  30.9 -0.501  16.31  16.57  02a57943o0477o     1           7    -37.0      138.907    340.251       2.1931          7        0          7      NaN          NaN        NaN        NaN         0            0       0
 57943.481583 -17.499    1.288   -364    468  o    0      0.94  299.61892  62.13773   5225.15   4205.33   2.97  2.29  56.7 -0.446  15.70  15.97  02a57943o0485o     1           7   -392.0      173.661    425.380       0.9313          7        0          7      NaN          NaN        NaN        NaN         0            0       0
 57945.505627  20.551    1.035     22     23  o    0      1.76  299.61892  62.13773   2230.08   7493.71   3.26  3.16  -2.6 -0.426  18.82  19.90  01a57945o0440o     0           1     29.0       13.594     33.298       2.1877          7        0          7   13.314       10.830     22.745     0.8399         5            1       6
 57945.515552 -20.712    1.291    -19     24  o    0      2.40  299.61892  62.13773   2253.50   7574.75   3.13  3.08  69.7 -0.435  18.85  19.88  01a57945o0460o     0           1     16.0       13.926     34.111       1.8603          7        0          7   22.383       10.020     36.732     2.0544         6            0       6
 57945.517028 -20.552    0.882    -22     19  o    0      2.44  299.61892  62.13773   2198.82   7500.56   3.18  3.04 -75.9 -0.434  18.83  19.88  01a57945o0463o     0           1     -8.0       10.429     25.546       1.2079          7        0          7    5.623        8.830     22.824     0.9668         6            0       6
 57945.534449 -25.075   73.500      0     25  o    0      3.13  299.61892  62.13773   2182.29   7683.71   3.00  2.95 -81.3 -0.447  18.89  19.86  01a57945o0498o     0           1      3.0       13.395     32.810       1.8249          7        0          7   -2.085        9.494     34.472     1.9986         6            0       6
 57949.483847  18.717    0.174    118     21  o    0      2.94  299.61892  62.13773   4349.80   6289.56   3.27  2.74 -88.9 -0.451  19.00  20.23  01a57949o0485o   512           3     46.0      571.217   1399.190    6581.3444          7        0          7    0.020        9.702     44.938     4.2411         4            0       4
